,ID,text,IPA,audio,pauses
0,94498d27-4bab-4d4c-86be-549c4bb50adb,"Фредерик Маккарти Форсайт. Родился в 1938 году в городе Ашфорд, графство Кент на юго-востоке Англии. Образование получил в привилегированной Танбриджской частной мужской школе и Гранадском университете в Испании.В 1956—1958 служил в королевских ВВС.","ˈfre(d)ərɪk mækˈkɑːti fɔː(r)ˈsaɪt. rəˈdɪləɪd ɪn ˈnɪnˈtɪnˈθɜːti eɪt jʊə. ɪn ˈæʃfəːd, ˈkɛnt, ˈsʌθˈwɛst ˈɪŋɡlənd. əˈbɛdʒ(ə)ˈreɪʃn̩ ˈɡɛt ɪn ˈtænbrɪdʒ ˈprɪvɪlɪdʒd ˈmæskjuːz ˈskuːl ənd ˈɡrænədə ˈjuːnɪvɜːrsɪtɪ ɪn ˈɪspæn. ɪn ˈnɪnˈtɪnˈfaɪs sɪks ˈtəʊ ˈnɪnˈtɪnˈfaɪs eɪt səˈvɪld ɪn ˈkɒrəl ˈvɪə ˈfɪʃ.",,
1,828160a0-1ea7-4cb5-b4d6-265dfeafcbd9,"В 60-е годы работал корреспондентом агентства «Рейтер» в Париже; в 1967-68 годах освещал гражданскую войну в Нигерии — в самопровозглашенной республике Биафра.Именно тогда началось его сотрудничество с британской разведкой, продлившееся 20 лет. У него имелся персональный куратор под кодовым именем Ронни, в качестве платы в МИ6 согласились читать его рукописи и предупреждать, если в них будет обнаружена не подлежащая разглашению информация.Возглавлял бюро агентства Рейтер в Восточном Берлине. Корреспондент в Берлине, Париже, Праге.","vʲɪ ˈsʲɪxдесятые ˈgɔды ˈrabotал kərɛsˈponдɛntом ˈaɡɛntsва ˈrɛjtər ɪn pəˈriʐ; vʲɪ 1967-68 ˈgɔдах ˈosvʲitал ɡʲɪˈzʲɪnскую ˈvɔйну ɪn ˈnʲɪɡʲɪriи — vʲɪ ˈsaməprəvəzɡləˈsʲɛnной ˈrɛспублікɛ ˈbʲiафра. ˈɛmɛnто ˈtəmʲɪ ˈnəčалось ˈego səˈтрудничество ˈs bʲɪˈtənskoy ˈrazvʲedкой, prədliˈvʲiвшееся ˈdvʲitsа ˈgɔда. ˈu ˈnʲim ˈimɛlся pʲɛrsənˈalnyj ˈkurətor pəd kɔdovəm ˈimʲenʲɪm ˈronni, vʲɪ ˈkələsі ˈplata ˈv mʲi6 səɡласны ˈčitать ˈego ˈrukəsəпти ɪ ˈpreduprʲɛжать, ˈjəkə ˈv ˈnʲim ˈbъдет ˈobnaruzжена ˈnə pədˈləzhnaya ˈrazɡləsшему ˈinfo. ˈvəzɡləvлял ˈbjuро ˈaɡɛntsва ˈrɛйтər ɪn ˈvосточном ˈbɛrлинɛ. ˈkərɛsˈponдɛнт ɪн ˈbɛрлинɛ, ˈpəriʐ, ˈpragɛ.",,
2,6c84c66a-2d29-4eba-a103-5fe0ff5ee028," В последнем городе также сотрудничал с местным информационным агентством, благодаря чему смог взять интервью у президента Чехословакии Людвика Свободы.Распродано более 70 миллионов книг Фредерика Форсайта, которые были переведены на десятки языков. Писатель очень тщательно относится к реалистичности своих романов. Многие его триллеры были экранизированы.Последней книгой писателя стала автобиография «Аутсайдер. Моя жизнь как интрига».","və sələdʲɪm ɡərˈdʲi təsʲɵzhnyj s mʲɛ斯tным инфəрмəцɪjnym аɡɛнˈtɪjəm, brydʲɪk ɡʲɛm tə səɡьb ɪntərˈvʲiju u prʲɛzʲɪdʲɪnt چɛxəsləvəkɪj lʲuwdʲɪv sʋəbədə. Rasprədənə vəj 70 mʲɛlʲɪard ɡrʲɪk fʲrʲɛdərɪk fərˈsajtə, kəly ɡrʲɪkə bəli prəvʲɛjdʲɪny na dʲɛstəkt ɡrʲɪb. Pʲisətʲɛlʲ ərys tɕɛljatʲɛ k rʲɛəlʲɪstɪcnostʲi səvəx rəmən. Mnəgə nʲɛ səvəx trʲilərə bəli ɛkranəzɪrəny. Poslədʲɪj kəgəbə pʲisətʲɛlʲa stələsə avtəbʲiɡrafʲiя ˈaʊtsaɪdər. məja lʲɪfə kəк ɪntrɪɡə.",,
3,eec61f02-5ff3-4ad8-8364-3a0d5b27f6b1," Планирует посвятить больше времени семье, общественной деятельности и журналистике. ",pʲɪˈlʲiːrʲuɪt pəsˈvʲætʲɪt ˈbʲoːrʲuːtɕ ˈvʲeɪtə rʲɪˈzʲeːmʲɪjə əbˈstətˈlʲiːvʲnəjə dʲiˈjælˈtʲiːvʲnəsʲtʲi ɪ zʊrˈnʲaːlʲɪˈstʲiːkʲi.,,
4,a348fdc0-e4a5-4b34-bb71-20cc21a7d29d," The Odessa File [роман, экранизирован в ] — Псы войны  The Dogs of War [роман, экранизирован в ] — Поводырь  The Shepherd [повесть] — Дьявольская альтернатива  The Devil's Alternative [роман] — Эмека  Emeka [биография создателя государства Биафра Эмеки] — Нет возврата  No Comebacks [сборник рассказов]:Нет возврата  No Comebacks В Ирландии не водятся змеи  There are no Snakes in Ireland",/ðə ˈɒdɪsə fайл/ — /pсы vɔɪн/ — /ðə ˈdɒɡz əv ˈwɔː/ — /povodʲɪrʲ/ — /ðə ˈʃɛpəd/ — /dʲaˈvulskaja altʲernativə/ — /ðə ˈdɛvəlz əlˌtɜːnətɪv/ — /ˈɛmɛkə/ — /nɛt vɔvˈrat/ — /nəʊ kəmˈbeɪks/ — /vʲɪ ɪrˈləndʲɪjə nɛt vɔdʲɪt͡sə ˈzmnɛɪ/ — /ðɛə əˈrɛ nəʊ ˈsneɪks ɪn ˈaɪələnd/,,
5,a02e5793-5329-40c6-a44d-9f04c71749ca,The EmperorБывают же дни...  There Are Some Days...Шантаж  Money with Menaces Used in EvidenceАбсолютная привилегия ,The Emperor: /ðə ˈɪmpərə/; Бывают же дни...: /bəvʲɪnˈdʑe dʲi/; There Are Some Days...: /ðɛə ɑː ˈsʌm deɪz/; Шантаж: /ʂantʂaz/; Money with Menaces Used in Evidence: /ˈmʌni wɪθ ˈmɛnəsɪz juːzd ɪn ˈɛvɪdəns/; Абсолютная привилегия: /ɐbsoˈlʲutnə prʲɪˈvʲilʲɛɡʲɪjə/.,,
6,2940386f-2213-41c5-9652-93324ca5c38c, PrivilegeДолг  DutyОн умел предусмотреть всё ,"ˈprɪvəlɪdʒ, ˈdɔlɡ, ˈdjuːti, ˈɔn ˈuːmʲɪl pərɪˈzdrʲeːtʲɪtʲ ˈvʲoːz",,
7,efe3efb2-afb7-4ed9-9489-a5a591b7aecf, A Careful ManВ дураках  Sharp Practice ,A kəˈrɪfəl mæn vɪ dʊˈrɑkəx ʃɑrp prəˈtɪsɪs,,
8,84ef6d90-57c4-47e2-a7f4-bf876d87a6c0,"— Четвёртый протокол  The Fourth Protocol [роман, экранизирован в ] — Посредник  The Negotiator [роман] — Обманщик  The Deceiver [роман] — Кулак Аллаха  The Fist of God [роман] ",tʃɛtˈvʲertyj prəˈtokol ðə ˈfɔːθ pɹəˈtɒkəl ˈrɔmən ɛɡkrənɪˈzɪrən v ðə nɛɡəˈteɪʃər ˈrɔmən əbˈmænʃɪk ˈrɔmən ðə fɪst əv ɡɒd ˈrɔmən,,
9,b14e7cd1-631c-46fa-98b7-ca4af3f34e4c,"— Икона  Icon [роман, экранизирован в ] — Призрак Манхэттена  The Phantom of Manhattan [роман] — Ветеран  The Veteran [сборник повестей]:Ветеран  The VeteranПроизведение искусства  The Art of the MatterЧудо  The MiracleГражданин  The CitizenШёпот ветра ",[ˈikənə] [ˈaɪkɒn] [pəˈtrɪzək mænˈhɛtən] [ˈfæfən ɒv mænˈhɛtən] [ˈvɛtərən] [ˈvɛtərən] [pəˈrɪzvɛɪs ɒv ðə ˈmætə] [ˈtʃuːdəʊ] [ˈɡræʒdən] [ˈʃeɪpət ˈvɛtə],,
10,ca0a1fc3-72f1-4bf0-9236-02ede985280b, Whispering Wind — Мститель  Avenger [роман] — Афганец  The Afghan [роман] — Кобра  The Cobra [роман],/ˈwɪsəpərɪŋ ˈwɪnd/ — /ˈmstɪtəl/  /ˈævəndʒər/ [rəˈmæn] — /ˈɑːfɡənɪts/  /ðə ˈæfɡæn/ [rəˈmæn] — /ˈkɒbər/  /ðə ˈkɒbər/ [rəˈmæn],,
11,e3a081c9-484d-41cc-9b74-b9a3be7674ea, — Список убийств  The Kill List [роман] — Аутсайдер. Моя жизнь как интрига  The Outsider: My Life in Intrigue [автобиография],ˈspʲɪsək ˈubʲɪjstv  ðə ˈkɪl lɪst  ˈrɔmən  ˈaʊtsaɪdə  ˈmaɪ ˈlʲɪf  ˈɪntrɪɡ  ˈɔːtəbʲiɔːˈɡrafʲi,,
12,bcf45fe8-2e20-4a55-a65e-cf7d169c68fe, — Лис  The Fox Есть двое сыновей. ,lʲis ˈfɒks ˈjɛst dva ˈsoːnʲɪvʲeɪ.,,
13,b89342a8-661d-4d89-ae2f-e491d29fe185,"В литературном плане Фредерик Форсайт предпочитает нон-фикшн,","vʲɪ lʲɪ tʲɪ rʲɪ tʲɪ nʲɪ skʲɪ pʲɪ nʲɪ fʲrʲɪ dʲɪ rʲɪ kʲɪ fʲɔː sɛɪ tʲɪ pʲrʲɪ tʲɪ ʃʲɪ tʲɪ nɔːn fʲɪ kʃɪ nʲɪ,",,
14,713c4846-8b83-4f48-91da-28474549baa1, книги в жанре триллера читает редко.,kɐˈbiː zɪ v ʐænˈrə trɪlˈlʲerə ɕɪˈtajt rʲɪˈdok.,,
15,b052c7e6-1a08-44b4-a5e4-78802fad3da4," Лучшим романом в жанре шпионский триллер считает книгу «Шпион, пришедший с холода» Джона Ле Карре. ",lʲuˈtɕiːm ˈromanəm v ʐænˈɡor ʂpʲiˈon skʲiː trʲiˈlʲer ɕiˈtaɪt kʊˈbʊ ˈʂpʲiːon pʲiːrʲiˈdʑɪnɡ s xɔlˈdɔ dʑoˈna lʲe kʲaˈrɛ.,,
16,db7c27c6-74f3-48cd-ac64-d923a29c7022,Орден Британской империи -й степени. Фредерик Форсайт на сайте Internet Movie Database,ˈɔːrdən bɹɪˈtænɪk ɪmˈpɛəriː ɒf ˈfriːdɹɪk ˈfɔːrsaɪt ɒn ˈsaɪt ɪnˈtɜːnɪt ˈmuːvɪ dəˈbæs,,
